Taxonomy,Species.name,Genus.name,Family.name,Order.name
BirdLife,Aethopyga siparaja,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga temminckii,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Aethopyga vigorsii,Aethopyga,Nectariniidae,Passeriformes
BirdLife,Afropavo congensis,Afropavo,Phasianidae,Galliformes
BirdLife,Afrotis afra,Afrotis,Otididae,Otidiformes
BirdLife,Afrotis afraoides,Afrotis,Otididae,Otidiformes
BirdLife,Agamia agami,Agamia,Ardeidae,Pelecaniformes
BirdLife,Agapornis canus,Agapornis,Psittacidae,Psittaciformes
BirdLife,Agapornis fischeri,Agapornis,Psittacidae,Psittaciformes
BirdLife,Agapornis lilianae,Agapornis,Psittacidae,Psittaciformes
BirdLife,Agapornis nigrigenis,Agapornis,Psittacidae,Psittaciformes
BirdLife,Agapornis personatus,Agapornis,Psittacidae,Psittaciformes
BirdLife,Agapornis pullarius,Agapornis,Psittacidae,Psittaciformes
BirdLife,Agapornis roseicollis,Agapornis,Psittacidae,Psittaciformes
BirdLife,Agapornis swindernianus,Agapornis,Psittacidae,Psittaciformes
BirdLife,Agapornis taranta,Agapornis,Psittacidae,Psittaciformes
BirdLife,Agelaioides badius,Agelaioides,Icteridae,Passeriformes
BirdLife,Agelaioides fringillarius,Agelaioides,Icteridae,Passeriformes
BirdLife,Agelaius assimilis,Agelaius,Icteridae,Passeriformes
BirdLife,Agelaius humeralis,Agelaius,Icteridae,Passeriformes
BirdLife,Agelaius phoeniceus,Agelaius,Icteridae,Passeriformes
BirdLife,Agelaius tricolor,Agelaius,Icteridae,Passeriformes
BirdLife,Agelaius xanthomus,Agelaius,Icteridae,Passeriformes
BirdLife,Agelastes meleagrides,Agelastes,Numididae,Galliformes
BirdLife,Agelastes niger,Agelastes,Numididae,Galliformes
BirdLife,Agelasticus cyanopus,Agelasticus,Icteridae,Passeriformes
BirdLife,Agelasticus thilius,Agelasticus,Icteridae,Passeriformes
BirdLife,Agelasticus xanthophthalmus,Agelasticus,Icteridae,Passeriformes
BirdLife,Aglaeactis aliciae,Aglaeactis,Trochilidae,Caprimulgiformes
BirdLife,Aglaeactis castelnaudii,Aglaeactis,Trochilidae,Caprimulgiformes
BirdLife,Aglaeactis cupripennis,Aglaeactis,Trochilidae,Caprimulgiformes
BirdLife,Aglaeactis pamela,Aglaeactis,Trochilidae,Caprimulgiformes
BirdLife,Aglaiocercus berlepschi,Aglaiocercus,Trochilidae,Caprimulgiformes
BirdLife,Aglaiocercus coelestis,Aglaiocercus,Trochilidae,Caprimulgiformes
BirdLife,Aglaiocercus kingii,Aglaiocercus,Trochilidae,Caprimulgiformes
BirdLife,Agraphospiza rubescens,Agraphospiza,Fringillidae,Passeriformes
BirdLife,Agricola infuscatus,Agricola,Muscicapidae,Passeriformes
BirdLife,Agricola pallidus,Agricola,Muscicapidae,Passeriformes
BirdLife,Agriornis albicauda,Agriornis,Tyrannidae,Passeriformes
BirdLife,Agriornis lividus,Agriornis,Tyrannidae,Passeriformes
BirdLife,Agriornis micropterus,Agriornis,Tyrannidae,Passeriformes
BirdLife,Agriornis montanus,Agriornis,Tyrannidae,Passeriformes
BirdLife,Agriornis murinus,Agriornis,Tyrannidae,Passeriformes
BirdLife,Agropsar philippensis,Agropsar,Sturnidae,Passeriformes
BirdLife,Agropsar sturninus,Agropsar,Sturnidae,Passeriformes
BirdLife,Ailuroedus buccoides,Ailuroedus,Ptilonorhynchidae,Passeriformes
BirdLife,Ailuroedus crassirostris,Ailuroedus,Ptilonorhynchidae,Passeriformes
BirdLife,Ailuroedus melanotis,Ailuroedus,Ptilonorhynchidae,Passeriformes
BirdLife,Aimophila notosticta,Aimophila,Passerellidae,Passeriformes
BirdLife,Aimophila rufescens,Aimophila,Passerellidae,Passeriformes
BirdLife,Aimophila ruficeps,Aimophila,Passerellidae,Passeriformes
BirdLife,Aix galericulata,Aix,Anatidae,Anseriformes
BirdLife,Aix sponsa,Aix,Anatidae,Anseriformes
BirdLife,Akletos goeldii,Akletos,Thamnophilidae,Passeriformes
BirdLife,Akletos melanoceps,Akletos,Thamnophilidae,Passeriformes
BirdLife,Alaemon alaudipes,Alaemon,Alaudidae,Passeriformes
BirdLife,Alaemon hamertoni,Alaemon,Alaudidae,Passeriformes
BirdLife,Alauda arvensis,Alauda,Alaudidae,Passeriformes
BirdLife,Alauda gulgula,Alauda,Alaudidae,Passeriformes
BirdLife,Alauda leucoptera,Alauda,Alaudidae,Passeriformes
BirdLife,Alauda razae,Alauda,Alaudidae,Passeriformes
BirdLife,Alaudala raytal,Alaudala,Alaudidae,Passeriformes
BirdLife,Alaudala rufescens,Alaudala,Alaudidae,Passeriformes
BirdLife,Alaudala somalica,Alaudala,Alaudidae,Passeriformes
BirdLife,Alca torda,Alca,Alcidae,Charadriiformes
BirdLife,Alcedo atthis,Alcedo,Alcedinidae,Coraciiformes
BirdLife,Alcedo coerulescens,Alcedo,Alcedinidae,Coraciiformes
BirdLife,Alcedo euryzona,Alcedo,Alcedinidae,Coraciiformes
BirdLife,Alcedo hercules,Alcedo,Alcedinidae,Coraciiformes
BirdLife,Alcedo meninting,Alcedo,Alcedinidae,Coraciiformes
BirdLife,Alcedo peninsulae,Alcedo,Alcedinidae,Coraciiformes
BirdLife,Alcedo quadribrachys,Alcedo,Alcedinidae,Coraciiformes
BirdLife,Alcedo semitorquata,Alcedo,Alcedinidae,Coraciiformes
BirdLife,Alcippe brunneicauda,Alcippe,Leiotrichidae,Passeriformes
BirdLife,Alcippe grotei,Alcippe,Leiotrichidae,Passeriformes
BirdLife,Alcippe morrisonia,Alcippe,Leiotrichidae,Passeriformes
BirdLife,Alcippe nipalensis,Alcippe,Leiotrichidae,Passeriformes
BirdLife,Alcippe peracensis,Alcippe,Leiotrichidae,Passeriformes
BirdLife,Alcippe poioicephala,Alcippe,Leiotrichidae,Passeriformes
BirdLife,Alcippe pyrrhoptera,Alcippe,Leiotrichidae,Passeriformes
BirdLife,Alcurus striatus,Alcurus,Pycnonotidae,Passeriformes
BirdLife,Aleadryas rufinucha,Aleadryas,Oreoicidae,Passeriformes
BirdLife,Alectoris barbara,Alectoris,Phasianidae,Galliformes
BirdLife,Alectoris chukar,Alectoris,Phasianidae,Galliformes
BirdLife,Alectoris graeca,Alectoris,Phasianidae,Galliformes
BirdLife,Alectoris magna,Alectoris,Phasianidae,Galliformes
BirdLife,Alectoris melanocephala,Alectoris,Phasianidae,Galliformes
BirdLife,Alectoris philbyi,Alectoris,Phasianidae,Galliformes
BirdLife,Alectoris rufa,Alectoris,Phasianidae,Galliformes
BirdLife,Alectroenas madagascariensis,Alectroenas,Columbidae,Columbiformes
BirdLife,Alectroenas pulcherrimus,Alectroenas,Columbidae,Columbiformes
