"AOU" "animal" "ORDER" "Family" "Genus" "Epithet" "animal_jetz"
"172" 310 "Uria_lomvia" "Charadriiformes" "Alcidae" "Uria" "lomvia" "Uria_lomvia"
"173" 290 "Cepphus_columba" "Charadriiformes" "Alcidae" "Cepphus" "columba" "Cepphus_columba"
"174" 230 "Brachyramphus_marmoratus" "Charadriiformes" "Alcidae" "Brachyramphus" "marmoratus" "Brachyramphus_marmoratus"
"175" 150 "Cerorhinca_monocerata" "Charadriiformes" "Alcidae" "Cerorhinca" "monocerata" "Cerorhinca_monocerata"
"176" 400 "Rissa_tridactyla" "Charadriiformes" "Laridae" "Rissa" "tridactyla" "Rissa_tridactyla"
"177" 620 "Xema_sabini" "Charadriiformes" "Laridae" "Xema" "sabini" "Xema_sabini"
"178" 600 "Larus_philadelphia" "Charadriiformes" "Laridae" "Chroicocephalus" "philadelphia" "Larus_philadelphia"
"179" 580 "Larus_atricilla" "Charadriiformes" "Laridae" "Leucophaeus" "atricilla" "Larus_atricilla"
"180" 590 "Larus_pipixcan" "Charadriiformes" "Laridae" "Leucophaeus" "pipixcan" "Larus_pipixcan"
"181" 570 "Larus_heermanni" "Charadriiformes" "Laridae" "Larus" "heermanni" "Larus_heermanni"
"182" 550 "Larus_canus" "Charadriiformes" "Laridae" "Larus" "canus" "Larus_canus"
"183" 540 "Larus_delawarensis" "Charadriiformes" "Laridae" "Larus" "delawarensis" "Larus_delawarensis"
"184" 490 "Larus_occidentalis" "Charadriiformes" "Laridae" "Larus" "occidentalis" "Larus_occidentalis"
"185" 530 "Larus_californicus" "Charadriiformes" "Laridae" "Larus" "californicus" "Larus_californicus"
"186" 510 "Larus_argentatus" "Charadriiformes" "Laridae" "Larus" "argentatus" "Larus_argentatus"
"187" 440 "Larus_glaucescens" "Charadriiformes" "Laridae" "Larus" "glaucescens" "Larus_glaucescens"
"188" 495 "Larus_occidentalis" "Charadriiformes" "Laridae" "Larus" "occidentalis" "Larus_occidentalis"
"189" 420 "Larus_hyperboreus" "Charadriiformes" "Laridae" "Larus" "hyperboreus" "Larus_hyperboreus"
"190" 470 "Larus_marinus" "Charadriiformes" "Laridae" "Larus" "marinus" "Larus_marinus"
"192" 730 "Onychoprion_aleuticus" "Charadriiformes" "Laridae" "Onychoprion" "aleuticus" "Sterna_aleutica"
"193" 740 "Sternula_antillarum" "Charadriiformes" "Laridae" "Sternula" "antillarum" "Sterna_antillarum"
"194" 630 "Gelochelidon_nilotica" "Charadriiformes" "Laridae" "Gelochelidon" "nilotica" "Sterna_nilotica"
"195" 640 "Hydroprogne_caspia" "Charadriiformes" "Laridae" "Hydroprogne" "caspia" "Sterna_caspia"
"196" 770 "Chlidonias_niger" "Charadriiformes" "Laridae" "Chlidonias" "niger" "Chlidonias_niger"
"197" 700 "Sterna_hirundo" "Charadriiformes" "Laridae" "Sterna" "hirundo" "Sterna_hirundo"
"198" 710 "Sterna_paradisaea" "Charadriiformes" "Laridae" "Sterna" "paradisaea" "Sterna_paradisaea"
"199" 690 "Sterna_forsteri" "Charadriiformes" "Laridae" "Sterna" "forsteri" "Sterna_forsteri"
"200" 650 "Thalasseus_maximus" "Charadriiformes" "Laridae" "Thalasseus" "maximus" "Sterna_maxima"
"201" 670 "Thalasseus_sandvicensis" "Charadriiformes" "Laridae" "Thalasseus" "sandvicensis" "Sterna_sandvicensis"
"203" 800 "Rynchops_niger" "Charadriiformes" "Laridae" "Rynchops" "niger" "Rynchops_niger"
"204" 110 "Gavia_stellata" "Gaviiformes" "Gaviidae" "Gavia" "stellata" "Gavia_stellata"
"205" 100 "Gavia_pacifica" "Gaviiformes" "Gaviidae" "Gavia" "pacifica" "Gavia_pacifica"
"206" 70 "Gavia_immer" "Gaviiformes" "Gaviidae" "Gavia" "immer" "Gavia_immer"
"207" 80 "Gavia_adamsii" "Gaviiformes" "Gaviidae" "Gavia" "adamsii" "Gavia_adamsii"
"209" 1880 "Mycteria_americana" "Ciconiiformes" "Ciconiidae" "Mycteria" "americana" "Mycteria_americana"
"210" 1280 "Fregata_magnificens" "Suliformes" "Fregatidae" "Fregata" "magnificens" "Fregata_magnificens"
"211" 1220 "Urile_penicillatus" "Suliformes" "Phalacrocoracidae" "Phalacrocorax" "penicillatus" "Phalacrocorax_penicillatus"
"212" 1210 "Nannopterum_brasilianus" "Suliformes" "Phalacrocoracidae" "Phalacrocorax" "brasilianus" "Phalacrocorax_brasilianus"
"213" 1200 "Nannopterum_auritus" "Suliformes" "Phalacrocoracidae" "Phalacrocorax" "auritus" "Phalacrocorax_auritus"
"214" 1205 "Nannopterum_brasilianus" "Suliformes" "Phalacrocoracidae" "Phalacrocorax" "brasilianus" "Phalacrocorax_brasilianus"
"215" 1230 "Urile_pelagicus" "Suliformes" "Phalacrocoracidae" "Phalacrocorax" "pelagicus" "Phalacrocorax_pelagicus"
"217" 1180 "Anhinga_anhinga" "Suliformes" "Anhingidae" "Anhinga" "anhinga" "Anhinga_anhinga"
"218" 1250 "Pelecanus_erythrorhynchos" "Pelecaniformes" "Pelecanidae" "Pelecanus" "erythrorhynchos" "Pelecanus_erythrorhynchos"
"219" 1260 "Pelecanus_occidentalis" "Pelecaniformes" "Pelecanidae" "Pelecanus" "occidentalis" "Pelecanus_occidentalis"
"220" 1900 "Botaurus_lentiginosus" "Pelecaniformes" "Ardeidae" "Botaurus" "lentiginosus" "Botaurus_lentiginosus"
"221" 1910 "Ixobrychus_exilis" "Pelecaniformes" "Ardeidae" "Ixobrychus" "exilis" "Ixobrychus_exilis"
"222" 1940 "Ardea_herodias" "Pelecaniformes" "Ardeidae" "Ardea" "herodias" "Ardea_herodias"
"223" 1920 "Ardea_herodias" "Pelecaniformes" "Ardeidae" "Ardea" "herodias" "Ardea_herodias"
"224" 1960 "Ardea_alba" "Pelecaniformes" "Ardeidae" "Ardea" "alba" "Casmerodius_albus"
"225" 1970 "Egretta_thula" "Pelecaniformes" "Ardeidae" "Egretta" "thula" "Egretta_thula"
"226" 2000 "Egretta_caerulea" "Pelecaniformes" "Ardeidae" "Egretta" "caerulea" "Egretta_caerulea"
